cancer_code,source_review_status,source_locator,tmb_assay,source_review_notes,reviewed_on,reference,source_title,legacy_value
ACC,source_checked,Additional file 3 Table S1; Sheet1!A88:C88; adrenal gland cortical carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: adrenal gland cortical carcinoma; 204 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",1.0
BLCA,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
BRCA,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
CESC,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
BTC,source_checked,Abstract Results; Figure 1B; Methods,WES_and_targeted_panel,"Chinese pan-biliary cohort; mixed WES and targeted-panel assays, not solely a panel assay.",2026-09-15,PMID:33754015,Mutational spectrum and precision oncology for biliary tract carcinoma.,
CHOL,source_checked,Additional file 3 Table S1; Sheet1!A103:C103; liver cholangiocarcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: liver cholangiocarcinoma; 1456 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",2.0
COAD,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
DLBC,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
ESCA,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
GBM,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
